,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
Tmem131,0.050728023,0.043846663,0.0,0.042561077,0.07816903,0.035607953,0.035607953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09176852,0.13389121,0.13389121,0.13389121,0.13389121,0.041984163,0.041984163,0.041984163,0.0,0.0640417,0.0,0.043782793,0.15637067,0.0,0.0,0.0,0.0,0.073775984,0.0,0.0,0.112346284,0.32300377,0.15676056,0.3135491
Coa5,0.28058705,0.2524498,0.20104162,0.3379648,0.26921704,0.07855826,0.1174314,0.0942227,0.0942227,0.15570995,0.15956596,0.15956596,0.21734674,0.21734676,0.15551369,0.08114051,0.08087987,0.08087987,0.08087987,0.079628944,0.03750626,0.09936473,0.109636545,0.109636545,0.22773434,0.2713459,0.10972204,0.06208567,0.13787323,0.1705172,0.18541542,0.11305552,0.28153834,0.49982232,0.3095582,0.2063883,0.22395557,0.16380878,0.48887882
Mgat4a,0.0,0.0,0.0,0.0,0.041502442,0.07632796,0.034825515,0.0,0.0,0.035621446,0.035621446,0.035621446,0.035621446,0.035621446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06208567,0.06125484,0.0,0.20668158,0.11257612,0.0,0.0,0.13673458,0.068165414,0.1317174,0.1744301,0.08557848
2010300C02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0378727,0.0378727,0.0378727,0.0378727,0.0378727,0.0,0.0,0.0,0.0,0.047843467,0.047843467,0.0,0.0,0.0,0.0,0.053011354,0.053011354,0.085889086,0.085889086,0.0,0.0,0.0,0.0,0.0
Mitd1,0.05728739,0.09212242,0.17081527,0.12708935,0.041502442,0.113670155,0.11104086,0.1487695,0.14876948,0.10989634,0.068798535,0.031456333,0.031456333,0.06431602,0.06431602,0.071616866,0.11373955,0.08087987,0.08087987,0.079628944,0.03750626,0.03750626,0.0,0.0,0.0640417,0.059896827,0.0,0.18036163,0.13111483,0.1340859,0.15824158,0.17792389,0.25888026,0.17841081,0.0,0.07118427,0.15836555,0.11634725,0.14910835
Txndc9,0.3601138,0.37193424,0.5407406,0.54341125,0.46700993,0.47568646,0.5009549,0.47004914,0.49015462,0.49009615,0.4482684,0.42729944,0.31096545,0.33929676,0.4248386,0.48540223,0.44190228,0.41762787,0.42215925,0.50348985,0.39145648,0.47289523,0.2597578,0.3060822,0.5418683,0.6620364,0.67857534,0.6355551,0.45046282,0.64817405,0.6432369,0.6361828,0.5174034,0.44693726,0.43679547,0.55525607,0.7702567,0.40679944,0.36646545
Rev1,0.13099203,0.095455825,0.13439867,0.042757694,0.07836565,0.035607953,0.035607953,0.031456333,0.031456333,0.06998366,0.083774,0.083774,0.14155479,0.14155479,0.13003863,0.1467853,0.1467853,0.1467853,0.105983794,0.06507144,0.0,0.061858464,0.061858464,0.11154501,0.049686547,0.0845897,0.0845897,0.0,0.0,0.1470179,0.0,0.0,0.0,0.0,0.0,0.07118427,0.0,0.089751974,0.0
Aff3,0.38553897,0.487247,0.18934578,0.18286243,0.3654024,0.2959325,0.4230248,0.3777878,0.37778783,0.3383963,0.28575465,0.22128573,0.31545255,0.30278793,0.3819002,0.5902297,0.59022963,0.6108155,0.56741154,0.46419412,0.5874766,0.6601029,0.5652485,0.6125863,0.86760217,0.7787997,0.99073637,0.61285603,1.1295624,0.93868315,0.58369577,0.6909858,0.7920532,0.45524135,0.57857805,0.5250627,0.8647775,0.3970868,0.39880455
Tbc1d8,0.12903464,0.0,0.045837563,0.0,0.0,0.0,0.0,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.031456333,0.0,0.04212269,0.07539919,0.07539919,0.07539919,0.0332765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07118427,0.0,0.0,0.0
Rnf149,0.08422291,0.11154802,0.24204469,0.2245102,0.26466355,0.4105964,0.16776733,0.039045714,0.039045714,0.0,0.09511696,0.09511696,0.09511696,0.09511696,0.13489686,0.1487818,0.14852116,0.14852116,0.10874125,0.12537025,0.21187013,0.21187013,0.17640066,0.14132988,0.047843467,0.047843467,0.0,0.0908848,0.14854032,0.10617393,0.25421417,0.053011354,0.085889086,0.14757253,0.15087944,0.17457236,0.0,0.0,0.15649013
Tgfbrap1,0.057318967,0.0,0.0,0.08829884,0.08829884,0.0,0.0,0.03312429,0.03312429,0.03312429,0.08544196,0.1289419,0.1289419,0.1289419,0.07662423,0.04349994,0.0,0.0,0.046904955,0.0,0.04502002,0.04502002,0.04502002,0.0,0.06751122,0.06751122,0.0,0.0,0.0,0.0,0.0,0.0,0.085889086,0.15632153,0.07043245,0.0,0.0,0.0,0.0
Fhl2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041942373,0.041942373,0.041942373,0.0,0.0,0.0,0.2320778,0.2320778,0.18034488,0.06836368,0.0,0.0,0.16558182,0.14155875,0.0,0.066129595,0.0,0.0,0.09069903,0.080711596
Uxs1,0.4508072,0.323665,0.29008073,0.3081177,0.2522054,0.26151612,0.27190578,0.24073783,0.28457308,0.17873329,0.28507015,0.28507012,0.24123488,0.24487494,0.3015214,0.2540701,0.21168676,0.17882708,0.13354698,0.101190254,0.27284363,0.27284363,0.25431937,0.1400047,0.09303767,0.09303767,0.21237451,0.14648542,0.1417819,0.15976843,0.053011354,0.271437,0.18002048,0.095647685,0.066129595,0.2161023,0.34337065,0.25899494,0.2423144
Tex30,0.5712361,0.4791618,0.40455735,0.24789566,0.4679538,0.75598997,0.7418103,0.72677857,0.6743853,0.54739213,0.47064033,0.44967136,0.4058361,0.35403225,0.28068298,0.37172133,0.42266995,0.5008067,0.6650844,0.5736848,0.32608718,0.30197355,0.30798954,0.5051929,0.22593385,0.15210092,0.14854714,0.06208567,0.15345252,0.39449182,0.36115295,0.21607469,0.07885977,0.16211368,0.23500675,0.17799903,0.33126643,0.09255107,0.2542028
Kdelc1,0.12459569,0.15411901,0.080721036,0.035885856,0.0,0.03624101,0.0,0.03312429,0.03312429,0.06874573,0.06874573,0.06874573,0.06874573,0.06874573,0.03312429,0.1438565,0.1438565,0.1438565,0.19076145,0.10294414,0.0,0.0,0.0,0.049686547,0.11234547,0.0,0.0,0.0,0.06646546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc39a10,0.22825822,0.13665235,0.2492401,0.20829667,0.15940776,0.19641173,0.110787734,0.06705499,0.06705499,0.0,0.105051294,0.105051294,0.105051294,0.105051294,0.052733626,0.0,0.0,0.0,0.1491858,0.102280855,0.18927145,0.2432946,0.14101374,0.1852265,0.29310584,0.047843467,0.22144863,0.0,0.0,0.14278321,0.0,0.0,0.0,0.0,0.066129595,0.0,0.0,0.07907479,0.0
Gls,0.04805174,0.0,0.11950493,0.04545821,0.0,0.034825515,0.034825515,0.03312429,0.03312429,0.03312429,0.08544196,0.08544196,0.08544196,0.08544196,0.03312429,0.0,0.0,0.0,0.0,0.041942373,0.086962394,0.086962394,0.04502002,0.0,0.0,0.0,0.108997606,0.06208567,0.08017663,0.0,0.0,0.10993145,0.10993145,0.095647685,0.066129595,0.0,0.0,0.0,0.0
